Region&Product&Subsidiary&Stores&Sales
Africa&Boot&Addis Ababa&12&$29,761
Africa&Men's Casual&Addis Ababa&4&$67,242
Africa&Men's Dress&Addis Ababa&7&$76,793
Africa&Sandal&Addis Ababa&10&$62,819
Africa&Slipper&Addis Ababa&14&$68,641
Africa&Sport Shoe&Addis Ababa&4&$1,690
Africa&Women's Casual&Addis Ababa&2&$51,541
Africa&Women's Dress&Addis Ababa&12&$108,942
Africa&Boot&Algiers&21&$21,297
Africa&Men's Casual&Algiers&4&$63,206
Africa&Men's Dress&Algiers&13&$123,743
Africa&Sandal&Algiers&25&$29,198
Africa&Slipper&Algiers&17&$64,891
Africa&Sport Shoe&Algiers&9&$2,617
Africa&Women's Dress&Algiers&12&$90,648
Africa&Boot&Cairo&20&$4,846
Africa&Men's Casual&Cairo&25&$360,209
Africa&Men's Dress&Cairo&5&$4,051
Africa&Sandal&Cairo&9&$10,532
Africa&Slipper&Cairo&9&$13,732
Africa&Sport Shoe&Cairo&3&$2,259
Africa&Women's Casual&Cairo&14&$328,474
Africa&Women's Dress&Cairo&3&$14,095
Africa&Boot&Johannesburg&14&$8,365
Africa&Sandal&Johannesburg&13&$17,337
Africa&Slipper&Johannesburg&12&$39,452
Africa&Sport Shoe&Johannesburg&8&$5,172
Africa&Women's Dress&Johannesburg&4&$42,682
Africa&Boot&Khartoum&24&$19,282
Africa&Men's Casual&Khartoum&1&$9,244
Africa&Men's Dress&Khartoum&3&$18,053
Africa&Sandal&Khartoum&18&$26,427
Africa&Slipper&Khartoum&11&$43,452
Africa&Sport Shoe&Khartoum&7&$2,521
Africa&Women's Casual&Khartoum&1&$19,582
Africa&Women's Dress&Khartoum&6&$48,031
Africa&Boot&Kinshasa&16&$13,921
Africa&Men's Dress&Kinshasa&5&$57,691
Africa&Sandal&Kinshasa&10&$16,662
Africa&Slipper&Kinshasa&11&$52,807
Africa&Sport Shoe&Kinshasa&10&$4,888
Africa&Women's Casual&Kinshasa&1&$17,919
Africa&Women's Dress&Kinshasa&3&$32,928
Africa&Boot&Luanda&8&$6,081
Africa&Men's Casual&Luanda&3&$62,893
Africa&Men's Dress&Luanda&2&$29,582
Africa&Sandal&Luanda&9&$11,145
Africa&Slipper&Luanda&5&$19,146
Africa&Sport Shoe&Luanda&2&$801
Africa&Women's Dress&Luanda&1&$8,467
Africa&Boot&Nairobi&25&$16,282
Africa&Men's Dress&Nairobi&1&$8,587
Africa&Sandal&Nairobi&19&$16,289
Africa&Slipper&Nairobi&12&$34,955
Africa&Sport Shoe&Nairobi&10&$2,202
Africa&Women's Dress&Nairobi&3&$28,515
Asia&Boot&Bangkok&1&$1,996
Asia&Men's Dress&Bangkok&1&$3,033
Asia&Sandal&Bangkok&1&$3,230
Asia&Slipper&Bangkok&1&$3,019
Asia&Women's Casual&Bangkok&1&$5,389
